method,replica,fitness
max,1,0.9816645878828679
max,2,3.8779701125007384
max,3,0.6345813478357119
max,4,6.511431017406049
max,5,-0.5262285958431823
max,6,3.6283746683608404
max,7,-0.05737223510615252
max,8,4.8866549017445156
max,9,0.31935476629528126
max,10,2.4996124291513255
max,11,1.9368817937568463
max,12,0.19109113387008747
max,13,2.02400686561688
max,14,-0.8109141068938983
max,15,3.623178980776255
max,16,-0.5520780147256725
max,17,2.85020002832778
max,18,3.1421881730633054
max,19,0.14911583791931693
max,20,0.6158491626608635
max,21,0.6884470149810756
max,22,-1.1916411021658553
max,23,5.6255631770597105
max,24,1.127035602905566
max,25,3.385558278040014
max,26,-0.1848005464050051
max,27,0.8926578181982503
max,28,-0.06178318982867095
max,29,0.6963435138470179
max,30,-0.8987057901065154
max,31,1.3623454316702794
max,32,1.028097737343882
max,33,0.08680768668396933
max,34,-0.33373909508254845
max,35,0.4391337887199617
max,36,-0.701689931676953
max,37,3.0046964528836138
max,38,1.7481939228832133
max,39,-1.1894594903954698
max,40,1.615220788346705
max,41,4.725714403502873
max,42,1.7127396639868868
max,43,1.0323310586378052
max,44,-1.1977399838244382
max,45,0.08960314174193362
max,46,1.0964116614481962
max,47,1.861699910398702
max,48,0.4175275757981434
max,49,0.9468809071177802
max,50,-0.3000539736285658
avg,1,0.18832843800041474
avg,2,-0.3289795519103681
avg,3,-0.36229726280264674
avg,4,0.8138583279424867
avg,5,0.14235706255090058
avg,6,-0.9180844861428781
avg,7,-0.5428659211659139
avg,8,2.1082833249655324
avg,9,2.184676118946942
avg,10,-2.166532769853681
avg,11,-0.7237460611753374
avg,12,1.8251877450294547
avg,13,2.509099237409485
avg,14,1.7319968089414877
avg,15,0.5423045769385411
avg,16,1.7286797105917338
avg,17,-0.5168589710760663
avg,18,-0.4850782583240262
avg,19,2.7764237164041905
avg,20,0.4245648057751426
avg,21,0.536040376288098
avg,22,1.8334716082522458
avg,23,-0.12216971291225187
avg,24,2.9226424790623025
avg,25,0.2657049258847725
avg,26,2.2322516209011694
avg,27,2.5449629780159286
avg,28,0.01808020189695944
avg,29,0.34897161523705095
avg,30,-0.4336416493039726
avg,31,-0.19588178647449517
avg,32,-0.9339408603721365
avg,33,-0.5446069807469625
avg,34,-0.08507865129375831
avg,35,0.8063706543306791
avg,36,-0.1575533173876073
avg,37,1.277934858122813
avg,38,0.962046582366187
avg,39,-0.6562096137017437
avg,40,-0.2803056140287824
avg,41,1.23168136073945
avg,42,0.917493772622051
avg,43,0.6751718063707993
avg,44,0.6803204096156911
avg,45,-1.0841484058567294
avg,46,-0.7311690286138673
avg,47,0.3845394711578734
avg,48,0.38270006066056567
avg,49,1.3937210557542903
avg,50,-0.3482066353182308
