method,replica,fitness
max,1,0.9362387788669476
max,2,-0.5364815288220205
max,3,0.9274654559506734
max,4,0.5821661608326221
max,5,0.8452999363336049
max,6,-0.10527820472470141
max,7,0.4059057088010491
max,8,-0.06498994015276492
max,9,-0.8337111988898104
max,10,0.4896329397276421
max,11,-1.2140377973058765
max,12,-0.055929217115488976
max,13,-1.3602991131837732
max,14,0.1341520173449915
max,15,-0.7469505240943543
max,16,-0.10079602847056805
max,17,-1.1757347040283432
max,18,0.4909552842646875
max,19,-0.12554787810220108
max,20,-1.9327080701055488
max,21,0.7441597395958823
max,22,-0.7984785271475382
max,23,-0.03788219216364714
max,24,0.16557223991104356
max,25,0.9680907302976587
avg,1,1.5726273229574987
avg,2,0.055385535767019406
avg,3,0.4571065649608544
avg,4,-0.3167304080667199
avg,5,0.2228144068003661
avg,6,-0.8376559664657425
avg,7,0.06299298439131859
avg,8,1.1025942769154875
avg,9,1.9103281117792217
avg,10,-0.4659452871031024
avg,11,1.458629514558831
avg,12,0.3616276751465871
avg,13,-0.6201499572381621
avg,14,1.3484048496208967
avg,15,-0.7117176354898429
avg,16,-1.2638161828961232
avg,17,2.1985769090697898
avg,18,0.4027609376539889
avg,19,-0.6574488524072829
avg,20,0.2005565368127352
avg,21,1.0731729838079669
avg,22,1.427202389663877
avg,23,0.13859377020079847
avg,24,1.1870923680255119
avg,25,-0.32349040437511745
