method,replica,fitness
max,1,2.0377139386425105
max,2,0.8944595770945158
max,3,0.028663810166776472
max,4,1.967373643004883
max,5,0.48909635264041845
max,6,0.7543918800833661
max,7,1.4013858347447237
max,8,5.044506895509343
max,9,-0.41971981522378937
max,10,2.562470580065295
max,11,5.281223875992913
max,12,0.3279636167528754
max,13,1.256444461213251
max,14,0.3408089449568919
max,15,-0.37844716396301165
max,16,0.8789140248396435
max,17,-0.20781919705413818
max,18,-0.9280617512919939
max,19,0.42730939394178075
max,20,2.4218485105791507
max,21,1.7733761260826264
max,22,2.569349793043956
max,23,0.5100664527992296
max,24,-0.2522696191845711
max,25,2.2328898032707567
max,26,-0.30302647090787715
max,27,1.8395100694541429
max,28,1.7494043716423882
max,29,2.2928035473786856
max,30,2.197128521476941
max,31,-0.09634215753870069
max,32,-1.913105208760379
max,33,0.20489834605574228
max,34,0.8125995052762259
max,35,-0.8531627256939869
max,36,0.7841510204941433
max,37,0.3155207015691514
max,38,-0.7492355873468123
max,39,0.4649704052589351
max,40,3.2325650722017576
max,41,-0.6519708182441156
max,42,0.7944362309321957
max,43,-0.9029316770411829
max,44,1.980183940526447
max,45,1.303259870608755
max,46,1.804826479186507
max,47,0.14612969654715913
max,48,-0.5493950051191588
max,49,-0.23362534470674895
max,50,0.7239061152499268
avg,1,-0.35585425150509076
avg,2,1.7439220641960063
avg,3,0.5608214111109686
avg,4,-1.2057926606814873
avg,5,-0.9207921312036664
avg,6,0.9519374552425548
avg,7,-1.015310149596456
avg,8,0.43845737348210345
avg,9,1.8326078408758097
avg,10,0.38229645039250515
avg,11,-0.358027929020982
avg,12,0.3023538865267667
avg,13,0.8636046107738337
avg,14,0.5571859842804754
avg,15,1.1216929562026687
avg,16,0.8267025986746928
avg,17,0.13100419394776153
avg,18,4.6845786152516
avg,19,2.736047041425086
avg,20,0.03510181124374463
avg,21,2.3087354626577388
avg,22,1.4480043714222504
avg,23,-0.5487619560641525
avg,24,0.8570522140101676
avg,25,-0.7816803916899249
avg,26,1.661921481134364
avg,27,0.8481680948374263
avg,28,0.8271670594583322
avg,29,-0.8808410876574705
avg,30,-0.10980761900344478
avg,31,0.7545243708414882
avg,32,0.09024893241154845
avg,33,-1.5021434269542855
avg,34,3.1520894921256684
avg,35,1.3372846402147962
avg,36,3.5486748484391395
avg,37,0.2261488769801256
avg,38,0.5296674726461873
avg,39,-1.1380873633299387
avg,40,-1.239389847700525
avg,41,-1.0422269839878382
avg,42,-0.04288877280640499
avg,43,0.9319462491946916
avg,44,2.318704534322529
avg,45,-0.9053980129999548
avg,46,0.4184143930517452
avg,47,0.1423263125340705
avg,48,-1.1770395402829452
avg,49,1.330987102246956
avg,50,-0.060187265485423
